time    K47A_pos_x  K47A_pos_y  K47A_pos_z    K47B_pos_x  K47B_pos_y  K47B_pos_z    
0.000000e+000    0.000000e+000  -1.500000e+010  0.000000e+000    0.000000e+000  1.500000e+010  0.000000e+000    
0.000000e+000    6.077683e+007  -1.467860e+010  0.000000e+000    -6.077683e+007  1.467860e+010  0.000000e+000    
4.944992e+004    1.139139e+008  -1.416737e+010  0.000000e+000    -1.139139e+008  1.416737e+010  0.000000e+000    
8.873782e+004    1.558089e+008  -1.348307e+010  0.000000e+000    -1.558089e+008  1.348307e+010  0.000000e+000    
1.104625e+005    1.893897e+008  -1.269949e+010  0.000000e+000    -1.893897e+008  1.269949e+010  0.000000e+000    
1.264487e+005    2.156886e+008  -1.185892e+010  0.000000e+000    -2.156886e+008  1.185892e+010  0.000000e+000    
1.359202e+005    2.356543e+008  -1.099391e+010  0.000000e+000    -2.356543e+008  1.099391e+010  0.000000e+000    
1.403199e+005    2.501107e+008  -1.012881e+010  0.000000e+000    -2.501107e+008  1.012881e+010  0.000000e+000    
1.405936e+005    2.598130e+008  -9.281733e+009  0.000000e+000    -2.598130e+008  9.281733e+009  0.000000e+000    
1.376442e+005    2.654555e+008  -8.465757e+009  0.000000e+000    -2.654555e+008  8.465757e+009  0.000000e+000    
1.322745e+005    2.676736e+008  -7.689961e+009  0.000000e+000    -2.676736e+008  7.689961e+009  0.000000e+000    
1.251830e+005    2.670419e+008  -6.960209e+009  0.000000e+000    -2.670419e+008  6.960209e+009  0.000000e+000    
1.169596e+005    2.640742e+008  -6.279840e+009  0.000000e+000    -2.640742e+008  6.279840e+009  0.000000e+000    
1.080885e+005    2.592243e+008  -5.650232e+009  0.000000e+000    -2.592243e+008  5.650232e+009  0.000000e+000    
9.895512e+004    2.528882e+008  -5.071282e+009  0.000000e+000    -2.528882e+008  5.071282e+009  0.000000e+000    
8.985680e+004    2.454080e+008  -4.541792e+009  0.000000e+000    -2.454080e+008  4.541792e+009  0.000000e+000    
8.101443e+004    2.370757e+008  -4.059791e+009  0.000000e+000    -2.370757e+008  4.059791e+009  0.000000e+000    
7.258466e+004    2.281384e+008  -3.622784e+009  0.000000e+000    -2.281384e+008  3.622784e+009  0.000000e+000    
6.467157e+004    2.188025e+008  -3.227953e+009  0.000000e+000    -2.188025e+008  3.227953e+009  0.000000e+000    
5.733727e+004    2.092392e+008  -2.872309e+009  0.000000e+000    -2.092392e+008  2.872309e+009  0.000000e+000    
5.061123e+004    1.995884e+008  -2.552811e+009  0.000000e+000    -1.995884e+008  2.552811e+009  0.000000e+000    
4.449829e+004    1.899636e+008  -2.266448e+009  0.000000e+000    -1.899636e+008  2.266448e+009  0.000000e+000    
3.898526e+004    1.804549e+008  -2.010303e+009  0.000000e+000    -1.804549e+008  2.010303e+009  0.000000e+000    
3.404636e+004    1.711333e+008  -1.781594e+009  0.000000e+000    -1.711333e+008  1.781594e+009  0.000000e+000    
2.964750e+004    1.620534e+008  -1.577701e+009  0.000000e+000    -1.620534e+008  1.577701e+009  0.000000e+000    
2.574962e+004    1.532558e+008  -1.396178e+009  0.000000e+000    -1.532558e+008  1.396178e+009  0.000000e+000    
2.231123e+004    1.447700e+008  -1.234766e+009  0.000000e+000    -1.447700e+008  1.234766e+009  0.000000e+000    
1.929031e+004    1.366162e+008  -1.091388e+009  0.000000e+000    -1.366162e+008  1.091388e+009  0.000000e+000    
1.664566e+004    1.288067e+008  -9.641495e+008  0.000000e+000    -1.288067e+008  9.641495e+008  0.000000e+000    
1.433782e+004    1.213479e+008  -8.513252e+008  0.000000e+000    -1.213479e+008  8.513252e+008  0.000000e+000    
1.232971e+004    1.142409e+008  -7.513549e+008  0.000000e+000    -1.142409e+008  7.513549e+008  0.000000e+000    
1.058694e+004    1.074831e+008  -6.628310e+008  0.000000e+000    -1.074831e+008  6.628310e+008  0.000000e+000    
9.078001e+003    1.010689e+008  -5.844871e+008  0.000000e+000    -1.010689e+008  5.844871e+008  0.000000e+000    
7.774320e+003    9.499016e+007  -5.151872e+008  0.000000e+000    -9.499016e+007  5.151872e+008  0.000000e+000    
6.650167e+003    8.923699e+007  -4.539144e+008  0.000000e+000    -8.923699e+007  4.539144e+008  0.000000e+000    
5.682542e+003    8.379828e+007  -3.997601e+008  0.000000e+000    -8.379828e+007  3.997601e+008  0.000000e+000    
4.851004e+003    7.866200e+007  -3.519141e+008  0.000000e+000    -7.866200e+007  3.519141e+008  0.000000e+000    
4.137478e+003    7.381553e+007  -3.096544e+008  0.000000e+000    -7.381553e+007  3.096544e+008  0.000000e+000    
3.526055e+003    6.924594e+007  -2.723392e+008  0.000000e+000    -6.924594e+007  2.723392e+008  0.000000e+000    
3.002782e+003    6.494018e+007  -2.393981e+008  0.000000e+000    -6.494018e+007  2.393981e+008  0.000000e+000    
2.555472e+003    6.088525e+007  -2.103247e+008  0.000000e+000    -6.088525e+007  2.103247e+008  0.000000e+000    
2.173504e+003    5.706831e+007  -1.846701e+008  0.000000e+000    -5.706831e+007  1.846701e+008  0.000000e+000    
1.847657e+003    5.347681e+007  -1.620362e+008  0.000000e+000    -5.347681e+007  1.620362e+008  0.000000e+000    
1.569936e+003    5.009851e+007  -1.420707e+008  0.000000e+000    -5.009851e+007  1.420707e+008  0.000000e+000    
1.333434e+003    4.692158e+007  -1.244617e+008  0.000000e+000    -4.692158e+007  1.244617e+008  0.000000e+000    
1.132188e+003    4.393463e+007  -1.089331e+008  0.000000e+000    -4.393463e+007  1.089331e+008  0.000000e+000    
9.610642e+002    4.112670e+007  -9.524100e+007  0.000000e+000    -4.112670e+007  9.524100e+007  0.000000e+000    
8.156499e+002    3.848731e+007  -8.316971e+007  0.000000e+000    -3.848731e+007  8.316971e+007  0.000000e+000    
6.921565e+002    3.600647e+007  -7.252868e+007  0.000000e+000    -3.600647e+007  7.252868e+007  0.000000e+000    
5.873368e+002    3.367463e+007  -6.314956e+007  0.000000e+000    -3.367463e+007  6.314956e+007  0.000000e+000    
4.984114e+002    3.148274e+007  -5.488372e+007  0.000000e+000    -3.148274e+007  5.488372e+007  0.000000e+000    
4.230038e+002    2.942220e+007  -4.759996e+007  0.000000e+000    -2.942220e+007  4.759996e+007  0.000000e+000    
3.590846e+002    2.748484e+007  -4.118245e+007  0.000000e+000    -2.748484e+007  4.118245e+007  0.000000e+000    
3.049226e+002    2.566294e+007  -3.552902e+007  0.000000e+000    -2.566294e+007  3.552902e+007  0.000000e+000    
2.590423e+002    2.394921e+007  -3.054951e+007  0.000000e+000    -2.394921e+007  3.054951e+007  0.000000e+000    
2.201873e+002    2.233672e+007  -2.616441e+007  0.000000e+000    -2.233672e+007  2.616441e+007  0.000000e+000    
1.872886e+002    2.081897e+007  -2.230359e+007  0.000000e+000    -2.081897e+007  2.230359e+007  0.000000e+000    
1.594378e+002    1.938981e+007  -1.890525e+007  0.000000e+000    -1.938981e+007  1.890525e+007  0.000000e+000    
1.358631e+002    1.804344e+007  -1.591489e+007  0.000000e+000    -1.804344e+007  1.591489e+007  0.000000e+000    
1.159093e+002    1.677439e+007  -1.328448e+007  0.000000e+000    -1.677439e+007  1.328448e+007  0.000000e+000    
9.902094e+001    1.557750e+007  -1.097169e+007  0.000000e+000    -1.557750e+007  1.097169e+007  0.000000e+000    
8.472725e+001    1.444793e+007  -8.939218e+006  0.000000e+000    -1.444793e+007  8.939218e+006  0.000000e+000    
7.262961e+001    1.338107e+007  -7.154177e+006  0.000000e+000    -1.338107e+007  7.154177e+006  0.000000e+000    
6.239089e+001    1.237258e+007  -5.587573e+006  0.000000e+000    -1.237258e+007  5.587573e+006  0.000000e+000    
5.372625e+001    1.141831e+007  -4.213820e+006  0.000000e+000    -1.141831e+007  4.213820e+006  0.000000e+000    
4.639540e+001    1.051426e+007  -3.010320e+006  0.000000e+000    -1.051426e+007  3.010320e+006  0.000000e+000    
4.019590e+001    9.656555e+006  -1.957099e+006  0.000000e+000    -9.656555e+006  1.957099e+006  0.000000e+000    
3.495743e+001    8.841358e+006  -1.036487e+006  0.000000e+000    -8.841358e+006  1.036487e+006  0.000000e+000    
3.053694e+001    8.064823e+006  -2.328566e+005  0.000000e+000    -8.064823e+006  2.328566e+005  0.000000e+000    
2.681429e+001    7.323037e+006  4.675810e+005  0.000000e+000    -7.323037e+006  -4.675810e+005  0.000000e+000    
2.368871e+001    6.611969e+006  1.076938e+006  0.000000e+000    -6.611969e+006  -1.076938e+006  0.000000e+000    
2.107566e+001    5.927433e+006  1.605759e+006  0.000000e+000    -5.927433e+006  -1.605759e+006  0.000000e+000    
1.890446e+001    5.265053e+006  2.063099e+006  0.000000e+000    -5.265053e+006  -2.063099e+006  0.000000e+000    
1.711636e+001    4.620236e+006  2.456563e+006  0.000000e+000    -4.620236e+006  -2.456563e+006  0.000000e+000    
1.566330e+001    3.988143e+006  2.792324e+006  0.000000e+000    -3.988143e+006  -2.792324e+006  0.000000e+000    
1.450706e+001    3.363658e+006  3.075100e+006  0.000000e+000    -3.363658e+006  -3.075100e+006  0.000000e+000    
1.361864e+001    2.741385e+006  3.308083e+006  0.000000e+000    -2.741385e+006  -3.308083e+006  0.000000e+000    
1.297762e+001    2.115768e+006  3.492797e+006  0.000000e+000    -2.115768e+006  -3.492797e+006  0.000000e+000    
1.257032e+001    1.481558e+006  3.628900e+006  0.000000e+000    -1.481558e+006  -3.628900e+006  0.000000e+000    
1.238452e+001    8.351016e+005  3.714092e+006  0.000000e+000    -8.351016e+005  -3.714092e+006  0.000000e+000    
1.239656e+001    1.768265e+005  3.744617e+006  0.000000e+000    -1.768265e+005  -3.744617e+006  0.000000e+000    
1.255007e+001    -4.865400e+005  3.717168e+006  0.000000e+000    4.865400e+005  -3.717168e+006  0.000000e+000    
1.275428e+001    -1.144464e+006  3.631462e+006  0.000000e+000    1.144464e+006  -3.631462e+006  0.000000e+000    
1.295269e+001    -1.789419e+006  3.490379e+006  0.000000e+000    1.789419e+006  -3.490379e+006  0.000000e+000    
1.319244e+001    -2.419931e+006  3.297405e+006  0.000000e+000    2.419931e+006  -3.297405e+006  0.000000e+000    
1.357117e+001    -3.038689e+006  3.054613e+006  0.000000e+000    3.038689e+006  -3.054613e+006  0.000000e+000    
1.416460e+001    -3.650114e+006  2.762147e+006  0.000000e+000    3.650114e+006  -2.762147e+006  0.000000e+000    
1.502010e+001    -4.259018e+006  2.418348e+006  0.000000e+000    4.259018e+006  -2.418348e+006  0.000000e+000    
1.617428e+001    -4.870073e+006  2.019968e+006  0.000000e+000    4.870073e+006  -2.019968e+006  0.000000e+000    
1.766614e+001    -5.487630e+006  1.562328e+006  0.000000e+000    5.487630e+006  -1.562328e+006  0.000000e+000    
1.954388e+001    -6.115695e+006  1.039405e+006  0.000000e+000    6.115695e+006  -1.039405e+006  0.000000e+000    
2.186855e+001    -6.757940e+006  4.438695e+005  0.000000e+000    6.757940e+006  -4.438695e+005  0.000000e+000    
2.471669e+001    -7.417731e+006  -2.329237e+005  0.000000e+000    7.417731e+006  2.329237e+005  0.000000e+000    
2.818286e+001    -8.098157e+006  -1.000969e+006  0.000000e+000    8.098157e+006  1.000969e+006  0.000000e+000    
3.238278e+001    -8.802061e+006  -1.871686e+006  0.000000e+000    8.802061e+006  1.871686e+006  0.000000e+000    
3.745731e+001    -9.532074e+006  -2.858025e+006  0.000000e+000    9.532074e+006  2.858025e+006  0.000000e+000    
4.357742e+001    -1.029065e+007  -3.974616e+006  0.000000e+000    1.029065e+007  3.974616e+006  0.000000e+000    
5.095049e+001    -1.108011e+007  -5.237963e+006  0.000000e+000    1.108011e+007  5.237963e+006  0.000000e+000    
5.982805e+001    -1.190264e+007  -6.666671e+006  0.000000e+000    1.190264e+007  6.666671e+006  0.000000e+000    
7.051509e+001    -1.276036e+007  -8.281718e+006  0.000000e+000    1.276036e+007  8.281718e+006  0.000000e+000    
8.338139e+001    -1.365531e+007  -1.010677e+007  0.000000e+000    1.365531e+007  1.010677e+007  0.000000e+000    
9.887510e+001    -1.458944e+007  -1.216853e+007  0.000000e+000    1.458944e+007  1.216853e+007  0.000000e+000    
