time    Sun_pos_x  Sun_pos_y  Sun_pos_z    Mercury_pos_x  Mercury_pos_y  Mercury_pos_z    Venus_pos_x  Venus_pos_y  Venus_pos_z    Earth_pos_x  Earth_pos_y  Earth_pos_z    Mars_pos_x  Mars_pos_y  Mars_pos_z    
0.000000e+00    0.000000e+00  0.000000e+00  0.000000e+00    0.000000e+00  5.700000e+10  0.000000e+00    0.000000e+00  1.100000e+11  0.000000e+00    0.000000e+00  1.500000e+11  0.000000e+00    0.000000e+00  2.200000e+11  0.000000e+00    
0.000000e+00    0.000000e+00  0.000000e+00  0.000000e+00    4.060800e+09  5.700000e+10  0.000000e+00    3.024000e+09  1.100000e+11  0.000000e+00    2.592000e+09  1.500000e+11  0.000000e+00    2.073600e+09  2.200000e+11  0.000000e+00    
8.640000e+04    0.000000e+00  4.055767e+02  0.000000e+00    8.121600e+09  5.669331e+10  0.000000e+00    6.048000e+09  1.099177e+11  0.000000e+00    5.184000e+09  1.499557e+11  0.000000e+00    4.147200e+09  2.199794e+11  0.000000e+00    
1.728000e+05    1.151632e+01  1.216062e+03  0.000000e+00    1.216072e+10  5.608225e+10  0.000000e+00    9.069739e+09  1.097530e+11  0.000000e+00    7.775235e+09  1.498672e+11  0.000000e+00    6.220606e+09  2.199382e+11  0.000000e+00    
2.592000e+05    4.600307e+01  2.430376e+03  0.000000e+00    1.615675e+10  5.517049e+10  0.000000e+00    1.208696e+10  1.095063e+11  0.000000e+00    1.036494e+10  1.497344e+11  0.000000e+00    8.293624e+09  2.198765e+11  0.000000e+00    
3.456000e+05    1.148367e+02  4.047021e+03  0.000000e+00    2.008867e+10  5.396301e+10  0.000000e+00    1.509741e+10  1.091778e+11  0.000000e+00    1.295235e+10  1.495574e+11  0.000000e+00    1.036606e+10  2.197942e+11  0.000000e+00    
4.320000e+05    2.292987e+02  6.064086e+03  0.000000e+00    2.393585e+10  5.246618e+10  0.000000e+00    1.809886e+10  1.087676e+11  0.000000e+00    1.553671e+10  1.493363e+11  0.000000e+00    1.243772e+10  2.196913e+11  0.000000e+00    
5.184000e+05    4.005572e+02  8.479246e+03  0.000000e+00    2.767818e+10  5.068770e+10  0.000000e+00    2.108907e+10  1.082762e+11  0.000000e+00    1.811726e+10  1.490711e+11  0.000000e+00    1.450841e+10  2.195678e+11  0.000000e+00    
6.048000e+05    6.396467e+02  1.128976e+04  0.000000e+00    3.129614e+10  4.863662e+10  0.000000e+00    2.406583e+10  1.077039e+11  0.000000e+00    2.069323e+10  1.487620e+11  0.000000e+00    1.657794e+10  2.194238e+11  0.000000e+00    
6.912000e+05    9.574464e+02  1.449248e+04  0.000000e+00    3.477093e+10  4.632334e+10  0.000000e+00    2.702694e+10  1.070512e+11  0.000000e+00    2.326387e+10  1.484090e+11  0.000000e+00    1.864611e+10  2.192593e+11  0.000000e+00    
7.776000e+05    1.364658e+03  1.808384e+04  0.000000e+00    3.808452e+10  4.375955e+10  0.000000e+00    2.997020e+10  1.063188e+11  0.000000e+00    2.582842e+10  1.480123e+11  0.000000e+00    2.071273e+10  2.190742e+11  0.000000e+00    
8.640000e+05    1.871783e+03  2.205990e+04  0.000000e+00    4.121981e+10  4.095822e+10  0.000000e+00    3.289346e+10  1.055070e+11  0.000000e+00    2.838614e+10  1.475719e+11  0.000000e+00    2.277761e+10  2.188686e+11  0.000000e+00    
9.504000e+05    2.489099e+03  2.641632e+04  0.000000e+00    4.416072e+10  3.793354e+10  0.000000e+00    3.579455e+10  1.046167e+11  0.000000e+00    3.093626e+10  1.470881e+11  0.000000e+00    2.484055e+10  2.186426e+11  0.000000e+00    
1.036800e+06    3.226633e+03  3.114837e+04  0.000000e+00    4.689230e+10  3.470087e+10  0.000000e+00    3.867137e+10  1.036485e+11  0.000000e+00    3.347806e+10  1.465609e+11  0.000000e+00    2.690136e+10  2.183961e+11  0.000000e+00    
1.123200e+06    4.094142e+03  3.625097e+04  0.000000e+00    4.940086e+10  3.127662e+10  0.000000e+00    4.152180e+10  1.026031e+11  0.000000e+00    3.601077e+10  1.459906e+11  0.000000e+00    2.895984e+10  2.181291e+11  0.000000e+00    
1.209600e+06    5.101090e+03  4.171872e+04  0.000000e+00    5.167405e+10  2.767820e+10  0.000000e+00    4.434377e+10  1.014815e+11  0.000000e+00    3.853367e+10  1.453772e+11  0.000000e+00    3.101582e+10  2.178417e+11  0.000000e+00    
1.296000e+06    6.256623e+03  4.754586e+04  0.000000e+00    5.370097e+10  2.392386e+10  0.000000e+00    4.713523e+10  1.002845e+11  0.000000e+00    4.104602e+10  1.447211e+11  0.000000e+00    3.306908e+10  2.175339e+11  0.000000e+00    
1.382400e+06    7.569556e+03  5.372636e+04  0.000000e+00    5.547228e+10  2.003261e+10  0.000000e+00    4.989416e+10  9.901305e+10  0.000000e+00    4.354707e+10  1.440224e+11  0.000000e+00    3.511944e+10  2.172057e+11  0.000000e+00    
1.468800e+06    9.048348e+03  6.025390e+04  0.000000e+00    5.698023e+10  1.602403e+10  0.000000e+00    5.261857e+10  9.766816e+10  0.000000e+00    4.603612e+10  1.432814e+11  0.000000e+00    3.716671e+10  2.168572e+11  0.000000e+00    
1.555200e+06    1.070110e+04  6.712192e+04  0.000000e+00    5.821876e+10  1.191816e+10  0.000000e+00    5.530650e+10  9.625089e+10  0.000000e+00    4.851242e+10  1.424982e+11  0.000000e+00    3.921069e+10  2.164884e+11  0.000000e+00    
1.641600e+06    1.253552e+04  7.432364e+04  0.000000e+00    5.918349e+10  7.735295e+09  0.000000e+00    5.795603e+10  9.476234e+10  0.000000e+00    5.097527e+10  1.416731e+11  0.000000e+00    4.125120e+10  2.160993e+11  0.000000e+00    
1.728000e+06    1.455895e+04  8.185212e+04  0.000000e+00    5.987180e+10  3.495840e+09  0.000000e+00    6.056528e+10  9.320368e+10  0.000000e+00    5.342394e+10  1.408064e+11  0.000000e+00    4.328804e+10  2.156899e+11  0.000000e+00    
1.814400e+06    1.677833e+04  8.970024e+04  0.000000e+00    6.028277e+10  -7.798622e+08  0.000000e+00    6.313240e+10  9.157613e+10  0.000000e+00    5.585773e+10  1.398983e+11  0.000000e+00    4.532102e+10  2.152603e+11  0.000000e+00    
1.900800e+06    1.920022e+04  9.786076e+04  0.000000e+00    6.041718e+10  -5.071712e+09  0.000000e+00    6.565556e+10  8.988096e+10  0.000000e+00    5.827594e+10  1.389492e+11  0.000000e+00    4.734994e+10  2.148105e+11  0.000000e+00    
1.987200e+06    2.183078e+04  1.063264e+05  0.000000e+00    6.027746e+10  -9.360014e+09  0.000000e+00    6.813302e+10  8.811948e+10  0.000000e+00    6.067787e+10  1.379593e+11  0.000000e+00    4.937463e+10  2.143405e+11  0.000000e+00    
2.073600e+06    2.467582e+04  1.150897e+05  0.000000e+00    5.986762e+10  -1.362564e+10  0.000000e+00    7.056303e+10  8.629305e+10  0.000000e+00    6.306282e+10  1.369289e+11  0.000000e+00    5.139488e+10  2.138505e+11  0.000000e+00    
2.160000e+06    2.774076e+04  1.241433e+05  0.000000e+00    5.919317e+10  -1.785017e+10  0.000000e+00    7.294392e+10  8.440309e+10  0.000000e+00    6.543011e+10  1.358583e+11  0.000000e+00    5.341051e+10  2.133404e+11  0.000000e+00    
2.246400e+06    3.103065e+04  1.334797e+05  0.000000e+00    5.826098e+10  -2.201605e+10  0.000000e+00    7.527404e+10  8.245106e+10  0.000000e+00    6.777905e+10  1.347480e+11  0.000000e+00    5.542132e+10  2.128102e+11  0.000000e+00    
2.332800e+06    3.455024e+04  1.430917e+05  0.000000e+00    5.707922e+10  -2.610666e+10  0.000000e+00    7.755181e+10  8.043844e+10  0.000000e+00    7.010899e+10  1.335981e+11  0.000000e+00    5.742714e+10  2.122601e+11  0.000000e+00    
2.419200e+06    3.830393e+04  1.529717e+05  0.000000e+00    5.565717e+10  -3.010647e+10  0.000000e+00    7.977568e+10  7.836678e+10  0.000000e+00    7.241924e+10  1.324091e+11  0.000000e+00    5.942775e+10  2.116900e+11  0.000000e+00    
2.505600e+06    4.229583e+04  1.631124e+05  0.000000e+00    5.400511e+10  -3.400108e+10  0.000000e+00    8.194415e+10  7.623767e+10  0.000000e+00    7.470915e+10  1.311814e+11  0.000000e+00    6.142299e+10  2.111000e+11  0.000000e+00    
2.592000e+06    4.652977e+04  1.735067e+05  0.000000e+00    5.213416e+10  -3.777729e+10  0.000000e+00    8.405578e+10  7.405272e+10  0.000000e+00    7.697807e+10  1.299152e+11  0.000000e+00    6.341266e+10  2.104902e+11  0.000000e+00    
2.678400e+06    5.100931e+04  1.841474e+05  0.000000e+00    5.005617e+10  -4.142314e+10  0.000000e+00    8.610918e+10  7.181360e+10  0.000000e+00    7.922536e+10  1.286111e+11  0.000000e+00    6.539657e+10  2.098606e+11  0.000000e+00    
2.764800e+06    5.573777e+04  1.950273e+05  0.000000e+00    4.778352e+10  -4.492793e+10  0.000000e+00    8.810299e+10  6.952198e+10  0.000000e+00    8.145036e+10  1.272694e+11  0.000000e+00    6.737453e+10  2.092112e+11  0.000000e+00    
2.851200e+06    6.071825e+04  2.061395e+05  0.000000e+00    4.532902e+10  -4.828225e+10  0.000000e+00    9.003594e+10  6.717960e+10  0.000000e+00    8.365247e+10  1.258905e+11  0.000000e+00    6.934635e+10  2.085422e+11  0.000000e+00    
2.937600e+06    6.595367e+04  2.174771e+05  0.000000e+00    4.270578e+10  -5.147789e+10  0.000000e+00    9.190678e+10  6.478821e+10  0.000000e+00    8.583105e+10  1.244748e+11  0.000000e+00    7.131185e+10  2.078535e+11  0.000000e+00    
3.024000e+06    7.144674e+04  2.290333e+05  0.000000e+00    3.992703e+10  -5.450790e+10  0.000000e+00    9.371434e+10  6.234961e+10  0.000000e+00    8.798549e+10  1.230228e+11  0.000000e+00    7.327084e+10  2.071453e+11  0.000000e+00    
3.110400e+06    7.720002e+04  2.408014e+05  0.000000e+00    3.700607e+10  -5.736649e+10  0.000000e+00    9.545748e+10  5.986560e+10  0.000000e+00    9.011518e+10  1.215349e+11  0.000000e+00    7.522314e+10  2.064175e+11  0.000000e+00    
3.196800e+06    8.321590e+04  2.527748e+05  0.000000e+00    3.395613e+10  -6.004900e+10  0.000000e+00    9.713515e+10  5.733803e+10  0.000000e+00    9.221954e+10  1.200116e+11  0.000000e+00    7.716855e+10  2.056703e+11  0.000000e+00    
3.283200e+06    8.949666e+04  2.649469e+05  0.000000e+00    3.079030e+10  -6.255184e+10  0.000000e+00    9.874633e+10  5.476877e+10  0.000000e+00    9.429797e+10  1.184534e+11  0.000000e+00    7.910690e+10  2.049036e+11  0.000000e+00    
3.369600e+06    9.604444e+04  2.773113e+05  0.000000e+00    2.752140e+10  -6.487242e+10  0.000000e+00    1.002901e+11  5.215969e+10  0.000000e+00    9.634990e+10  1.168606e+11  0.000000e+00    8.103799e+10  2.041177e+11  0.000000e+00    
3.456000e+06    1.028612e+05  2.898615e+05  0.000000e+00    2.416197e+10  -6.700908e+10  0.000000e+00    1.017654e+11  4.951270e+10  0.000000e+00    9.837476e+10  1.152338e+11  0.000000e+00    8.296164e+10  2.033124e+11  0.000000e+00    
