time    Sun_pos_x  Sun_pos_y  Sun_pos_z    Earth_pos_x  Earth_pos_y  Earth_pos_z    Moon_pos_x  Moon_pos_y  Moon_pos_z    
0.000000e+000    0.000000e+000  0.000000e+000  0.000000e+000    0.000000e+000  1.520000e+011  0.000000e+000    3.750000e+005  1.470000e+011  0.000000e+000    
0.000000e+000    5.593084e-001  6.553465e+001  0.000000e+000    2.591816e+009  1.519784e+011  0.000000e+000    2.680551e+009  1.469770e+011  0.000000e+000    
8.640000e+004    3.355492e+000  2.621186e+002  0.000000e+000    5.182897e+009  1.519138e+011  0.000000e+000    5.359885e+009  1.469080e+011  0.000000e+000    
1.728000e+005    1.062464e+001  5.896917e+002  0.000000e+000    7.772507e+009  1.518060e+011  0.000000e+000    8.037533e+009  1.467931e+011  0.000000e+000    
2.592000e+005    2.460128e+001  1.048154e+003  0.000000e+000    1.035991e+010  1.516551e+011  0.000000e+000    1.071266e+010  1.466323e+011  0.000000e+000    
3.456000e+005    4.751761e+001  1.637365e+003  0.000000e+000    1.294438e+010  1.514612e+011  0.000000e+000    1.338441e+010  1.464256e+011  0.000000e+000    
4.320000e+005    8.160269e+001  2.357145e+003  0.000000e+000    1.552518e+010  1.512244e+011  0.000000e+000    1.605196e+010  1.461731e+011  0.000000e+000    
5.184000e+005    1.290817e+002  3.207274e+003  0.000000e+000    1.810157e+010  1.509447e+011  0.000000e+000    1.871447e+010  1.458749e+011  0.000000e+000    
6.048000e+005    1.921751e+002  4.187492e+003  0.000000e+000    2.067283e+010  1.506222e+011  0.000000e+000    2.137110e+010  1.455312e+011  0.000000e+000    
6.912000e+005    2.730981e+002  5.297500e+003  0.000000e+000    2.323823e+010  1.502569e+011  0.000000e+000    2.402103e+010  1.451420e+011  0.000000e+000    
7.776000e+005    3.740594e+002  6.536960e+003  0.000000e+000    2.579704e+010  1.498491e+011  0.000000e+000    2.666343e+010  1.447075e+011  0.000000e+000    
8.640000e+005    4.972610e+002  7.905492e+003  0.000000e+000    2.834854e+010  1.493988e+011  0.000000e+000    2.929746e+010  1.442279e+011  0.000000e+000    
9.504000e+005    6.448969e+002  9.402680e+003  0.000000e+000    3.089201e+010  1.489062e+011  0.000000e+000    3.192233e+010  1.437033e+011  0.000000e+000    
1.036800e+006    8.191529e+002  1.102807e+004  0.000000e+000    3.342672e+010  1.483713e+011  0.000000e+000    3.453720e+010  1.431339e+011  0.000000e+000    
1.123200e+006    1.022205e+003  1.278116e+004  0.000000e+000    3.595198e+010  1.477945e+011  0.000000e+000    3.714127e+010  1.425200e+011  0.000000e+000    
1.209600e+006    1.256221e+003  1.466142e+004  0.000000e+000    3.846705e+010  1.471758e+011  0.000000e+000    3.973373e+010  1.418616e+011  0.000000e+000    
1.296000e+006    1.523355e+003  1.666828e+004  0.000000e+000    4.097123e+010  1.465155e+011  0.000000e+000    4.231379e+010  1.411592e+011  0.000000e+000    
1.382400e+006    1.825752e+003  1.880112e+004  0.000000e+000    4.346382e+010  1.458136e+011  0.000000e+000    4.488065e+010  1.404130e+011  0.000000e+000    
1.468800e+006    2.165544e+003  2.105931e+004  0.000000e+000    4.594412e+010  1.450706e+011  0.000000e+000    4.743353e+010  1.396231e+011  0.000000e+000    
1.555200e+006    2.544850e+003  2.344215e+004  0.000000e+000    4.841143e+010  1.442865e+011  0.000000e+000    4.997165e+010  1.387900e+011  0.000000e+000    
1.641600e+006    2.965776e+003  2.594892e+004  0.000000e+000    5.086505e+010  1.434617e+011  0.000000e+000    5.249423e+010  1.379138e+011  0.000000e+000    
1.728000e+006    3.430412e+003  2.857885e+004  0.000000e+000    5.330431e+010  1.425963e+011  0.000000e+000    5.500051e+010  1.369950e+011  0.000000e+000    
1.814400e+006    3.940836e+003  3.133116e+004  0.000000e+000    5.572851e+010  1.416906e+011  0.000000e+000    5.748973e+010  1.360338e+011  0.000000e+000    
