time    K47A_pos_x  K47A_pos_y  K47A_pos_z    K47B_pos_x  K47B_pos_y  K47B_pos_z    
0.000000e+000    1.000000e+003  0.000000e+000  0.000000e+000    0.000000e+000  1.254000e+010  0.000000e+000    
0.000000e+000    1.080000e+010  1.148502e+005  0.000000e+000    1.054080e+010  9.213304e+009  0.000000e+000    
8.640000e+004    2.159999e+010  5.569930e+005  0.000000e+000    2.132350e+010  -3.593591e+009  0.000000e+000    
1.728000e+005    3.239942e+010  2.243031e+006  0.000000e+000    4.856486e+010  -5.243056e+010  0.000000e+000    
2.592000e+005    4.319884e+010  3.921290e+006  0.000000e+000    7.574666e+010  -1.010422e+011  0.000000e+000    
3.456000e+005    5.399827e+010  5.596504e+006  0.000000e+000    1.029000e+011  -1.495656e+011  0.000000e+000    
4.320000e+005    6.479769e+010  7.270332e+006  0.000000e+000    1.300403e+011  -1.980489e+011  0.000000e+000    
5.184000e+005    7.559712e+010  8.943370e+006  0.000000e+000    1.571730e+011  -2.465093e+011  0.000000e+000    
6.048000e+005    8.639655e+010  1.061590e+007  0.000000e+000    1.843009e+011  -2.949550e+011  0.000000e+000    
6.912000e+005    9.719598e+010  1.228808e+007  0.000000e+000    2.114253e+011  -3.433905e+011  0.000000e+000    
7.776000e+005    1.079954e+011  1.395999e+007  0.000000e+000    2.385472e+011  -3.918183e+011  0.000000e+000    
8.640000e+005    1.187948e+011  1.563170e+007  0.000000e+000    2.656672e+011  -4.402403e+011  0.000000e+000    
9.504000e+005    1.295943e+011  1.730326e+007  0.000000e+000    2.927856e+011  -4.886577e+011  0.000000e+000    
1.036800e+006    1.403937e+011  1.897468e+007  0.000000e+000    3.199028e+011  -5.370714e+011  0.000000e+000    
1.123200e+006    1.511931e+011  2.064600e+007  0.000000e+000    3.470190e+011  -5.854820e+011  0.000000e+000    
1.209600e+006    1.619925e+011  2.231722e+007  0.000000e+000    3.741343e+011  -6.338900e+011  0.000000e+000    
1.296000e+006    1.727920e+011  2.398838e+007  0.000000e+000    4.012488e+011  -6.822957e+011  0.000000e+000    
1.382400e+006    1.835914e+011  2.565946e+007  0.000000e+000    4.283627e+011  -7.306996e+011  0.000000e+000    
1.468800e+006    1.943908e+011  2.733049e+007  0.000000e+000    4.554761e+011  -7.791017e+011  0.000000e+000    
1.555200e+006    2.051903e+011  2.900146e+007  0.000000e+000    4.825889e+011  -8.275024e+011  0.000000e+000    
1.641600e+006    2.159897e+011  3.067240e+007  0.000000e+000    5.097013e+011  -8.759018e+011  0.000000e+000    
1.728000e+006    2.267891e+011  3.234329e+007  0.000000e+000    5.368134e+011  -9.243001e+011  0.000000e+000    
1.814400e+006    2.375885e+011  3.401414e+007  0.000000e+000    5.639250e+011  -9.726972e+011  0.000000e+000    
1.900800e+006    2.483880e+011  3.568497e+007  0.000000e+000    5.910364e+011  -1.021093e+012  0.000000e+000    
1.987200e+006    2.591874e+011  3.735576e+007  0.000000e+000    6.181475e+011  -1.069489e+012  0.000000e+000    
2.073600e+006    2.699868e+011  3.902653e+007  0.000000e+000    6.452583e+011  -1.117884e+012  0.000000e+000    
2.160000e+006    2.807862e+011  4.069727e+007  0.000000e+000    6.723689e+011  -1.166277e+012  0.000000e+000    
2.246400e+006    2.915857e+011  4.236799e+007  0.000000e+000    6.994792e+011  -1.214671e+012  0.000000e+000    
2.332800e+006    3.023851e+011  4.403869e+007  0.000000e+000    7.265894e+011  -1.263063e+012  0.000000e+000    
2.419200e+006    3.131845e+011  4.570936e+007  0.000000e+000    7.536993e+011  -1.311455e+012  0.000000e+000    
2.505600e+006    3.239840e+011  4.738003e+007  0.000000e+000    7.808091e+011  -1.359847e+012  0.000000e+000    
2.592000e+006    3.347834e+011  4.905067e+007  0.000000e+000    8.079187e+011  -1.408238e+012  0.000000e+000    
2.678400e+006    3.455828e+011  5.072130e+007  0.000000e+000    8.350282e+011  -1.456629e+012  0.000000e+000    
2.764800e+006    3.563822e+011  5.239191e+007  0.000000e+000    8.621375e+011  -1.505019e+012  0.000000e+000    
2.851200e+006    3.671817e+011  5.406251e+007  0.000000e+000    8.892467e+011  -1.553409e+012  0.000000e+000    
2.937600e+006    3.779811e+011  5.573310e+007  0.000000e+000    9.163558e+011  -1.601798e+012  0.000000e+000    
3.024000e+006    3.887805e+011  5.740368e+007  0.000000e+000    9.434648e+011  -1.650187e+012  0.000000e+000    
