time    K47A_pos_x  K47A_pos_y  K47A_pos_z    K47B_pos_x  K47B_pos_y  K47B_pos_z    
0.000000e+000    0.000000e+000  -1.500000e+010  0.000000e+000    0.000000e+000  1.500000e+010  0.000000e+000    
0.000000e+000    1.061906e+008  -1.443845e+010  0.000000e+000    -1.061906e+008  1.443845e+010  0.000000e+000    
8.640000e+004    2.026039e+008  -1.263959e+010  0.000000e+000    -2.026039e+008  1.263959e+010  0.000000e+000    
1.728000e+005    2.689608e+008  -9.160609e+009  0.000000e+000    -2.689608e+008  9.160609e+009  0.000000e+000    
2.592000e+005    1.530794e+008  -1.320651e+009  0.000000e+000    -1.530794e+008  1.320651e+009  0.000000e+000    
3.456000e+005    -2.953304e+010  1.302485e+011  0.000000e+000    2.953304e+010  -1.302485e+011  0.000000e+000    
4.320000e+005    -6.192188e+010  2.851420e+011  0.000000e+000    6.192188e+010  -2.851420e+011  0.000000e+000    
5.184000e+005    -9.430973e+010  4.400312e+011  0.000000e+000    9.430973e+010  -4.400312e+011  0.000000e+000    
6.048000e+005    -1.266973e+011  5.949189e+011  0.000000e+000    1.266973e+011  -5.949189e+011  0.000000e+000    
6.912000e+005    -1.590847e+011  7.498060e+011  0.000000e+000    1.590847e+011  -7.498060e+011  0.000000e+000    
7.776000e+005    -1.914720e+011  9.046926e+011  0.000000e+000    1.914720e+011  -9.046926e+011  0.000000e+000    
8.640000e+005    -2.238592e+011  1.059579e+012  0.000000e+000    2.238592e+011  -1.059579e+012  0.000000e+000    
9.504000e+005    -2.562465e+011  1.214465e+012  0.000000e+000    2.562465e+011  -1.214465e+012  0.000000e+000    
1.036800e+006    -2.886336e+011  1.369351e+012  0.000000e+000    2.886336e+011  -1.369351e+012  0.000000e+000    
1.123200e+006    -3.210208e+011  1.524237e+012  0.000000e+000    3.210208e+011  -1.524237e+012  0.000000e+000    
1.209600e+006    -3.534079e+011  1.679122e+012  0.000000e+000    3.534079e+011  -1.679122e+012  0.000000e+000    
1.296000e+006    -3.857950e+011  1.834008e+012  0.000000e+000    3.857950e+011  -1.834008e+012  0.000000e+000    
1.382400e+006    -4.181821e+011  1.988894e+012  0.000000e+000    4.181821e+011  -1.988894e+012  0.000000e+000    
1.468800e+006    -4.505692e+011  2.143779e+012  0.000000e+000    4.505692e+011  -2.143779e+012  0.000000e+000    
1.555200e+006    -4.829562e+011  2.298665e+012  0.000000e+000    4.829562e+011  -2.298665e+012  0.000000e+000    
1.641600e+006    -5.153433e+011  2.453550e+012  0.000000e+000    5.153433e+011  -2.453550e+012  0.000000e+000    
1.728000e+006    -5.477303e+011  2.608435e+012  0.000000e+000    5.477303e+011  -2.608435e+012  0.000000e+000    
1.814400e+006    -5.801174e+011  2.763321e+012  0.000000e+000    5.801174e+011  -2.763321e+012  0.000000e+000    
1.900800e+006    -6.125044e+011  2.918206e+012  0.000000e+000    6.125044e+011  -2.918206e+012  0.000000e+000    
1.987200e+006    -6.448914e+011  3.073091e+012  0.000000e+000    6.448914e+011  -3.073091e+012  0.000000e+000    
2.073600e+006    -6.772785e+011  3.227977e+012  0.000000e+000    6.772785e+011  -3.227977e+012  0.000000e+000    
2.160000e+006    -7.096655e+011  3.382862e+012  0.000000e+000    7.096655e+011  -3.382862e+012  0.000000e+000    
2.246400e+006    -7.420525e+011  3.537747e+012  0.000000e+000    7.420525e+011  -3.537747e+012  0.000000e+000    
2.332800e+006    -7.744395e+011  3.692632e+012  0.000000e+000    7.744395e+011  -3.692632e+012  0.000000e+000    
2.419200e+006    -8.068265e+011  3.847517e+012  0.000000e+000    8.068265e+011  -3.847517e+012  0.000000e+000    
2.505600e+006    -8.392135e+011  4.002403e+012  0.000000e+000    8.392135e+011  -4.002403e+012  0.000000e+000    
2.592000e+006    -8.716005e+011  4.157288e+012  0.000000e+000    8.716005e+011  -4.157288e+012  0.000000e+000    
2.678400e+006    -9.039875e+011  4.312173e+012  0.000000e+000    9.039875e+011  -4.312173e+012  0.000000e+000    
2.764800e+006    -9.363745e+011  4.467058e+012  0.000000e+000    9.363745e+011  -4.467058e+012  0.000000e+000    
2.851200e+006    -9.687615e+011  4.621943e+012  0.000000e+000    9.687615e+011  -4.621943e+012  0.000000e+000    
2.937600e+006    -1.001149e+012  4.776828e+012  0.000000e+000    1.001149e+012  -4.776828e+012  0.000000e+000    
3.024000e+006    -1.033536e+012  4.931713e+012  0.000000e+000    1.033536e+012  -4.931713e+012  0.000000e+000    
3.110400e+006    -1.065922e+012  5.086598e+012  0.000000e+000    1.065922e+012  -5.086598e+012  0.000000e+000    
3.196800e+006    -1.098309e+012  5.241483e+012  0.000000e+000    1.098309e+012  -5.241483e+012  0.000000e+000    
3.283200e+006    -1.130696e+012  5.396368e+012  0.000000e+000    1.130696e+012  -5.396368e+012  0.000000e+000    
3.369600e+006    -1.163083e+012  5.551253e+012  0.000000e+000    1.163083e+012  -5.551253e+012  0.000000e+000    
3.456000e+006    -1.195470e+012  5.706138e+012  0.000000e+000    1.195470e+012  -5.706138e+012  0.000000e+000    
3.542400e+006    -1.227857e+012  5.861024e+012  0.000000e+000    1.227857e+012  -5.861024e+012  0.000000e+000    
3.628800e+006    -1.260244e+012  6.015909e+012  0.000000e+000    1.260244e+012  -6.015909e+012  0.000000e+000    
3.715200e+006    -1.292631e+012  6.170794e+012  0.000000e+000    1.292631e+012  -6.170794e+012  0.000000e+000    
3.801600e+006    -1.325018e+012  6.325679e+012  0.000000e+000    1.325018e+012  -6.325679e+012  0.000000e+000    
3.888000e+006    -1.357405e+012  6.480564e+012  0.000000e+000    1.357405e+012  -6.480564e+012  0.000000e+000    
3.974400e+006    -1.389792e+012  6.635449e+012  0.000000e+000    1.389792e+012  -6.635449e+012  0.000000e+000    
4.060800e+006    -1.422179e+012  6.790334e+012  0.000000e+000    1.422179e+012  -6.790334e+012  0.000000e+000    
4.147200e+006    -1.454566e+012  6.945219e+012  0.000000e+000    1.454566e+012  -6.945219e+012  0.000000e+000    
4.233600e+006    -1.486953e+012  7.100104e+012  0.000000e+000    1.486953e+012  -7.100104e+012  0.000000e+000    
4.320000e+006    -1.519340e+012  7.254989e+012  0.000000e+000    1.519340e+012  -7.254989e+012  0.000000e+000    
4.406400e+006    -1.551727e+012  7.409874e+012  0.000000e+000    1.551727e+012  -7.409874e+012  0.000000e+000    
4.492800e+006    -1.584114e+012  7.564759e+012  0.000000e+000    1.584114e+012  -7.564759e+012  0.000000e+000    
4.579200e+006    -1.616501e+012  7.719643e+012  0.000000e+000    1.616501e+012  -7.719643e+012  0.000000e+000    
