time    Sun_pos_x  Sun_pos_y  Sun_pos_z    Mercury_pos_x  Mercury_pos_y  Mercury_pos_z    Venus_pos_x  Venus_pos_y  Venus_pos_z    Earth_pos_x  Earth_pos_y  Earth_pos_z    Mars_pos_x  Mars_pos_y  Mars_pos_z    
0.000000e+00    0.000000e+00  0.000000e+00  0.000000e+00    0.000000e+00  5.700000e+10  0.000000e+00    0.000000e+00  1.100000e+11  0.000000e+00    0.000000e+00  1.500000e+11  0.000000e+00    0.000000e+00  2.200000e+11  0.000000e+00    
0.000000e+00    2.526349e+00  2.027425e+02  0.000000e+00    4.056022e+09  5.684681e+10  0.000000e+00    3.023505e+09  1.099588e+11  0.000000e+00    2.591833e+09  1.499779e+11  0.000000e+00    2.073558e+09  2.199897e+11  0.000000e+00    
8.640000e+04    1.660018e+01  8.108150e+02  0.000000e+00    8.090206e+09  5.638773e+10  0.000000e+00    6.044746e+09  1.098354e+11  0.000000e+00    5.182900e+09  1.499114e+11  0.000000e+00    4.146921e+09  2.199588e+11  0.000000e+00    
1.728000e+05    5.375304e+01  1.823588e+03  0.000000e+00    1.208078e+10  5.562481e+10  0.000000e+00    9.061463e+09  1.096297e+11  0.000000e+00    7.772437e+09  1.498008e+11  0.000000e+00    6.219897e+09  2.199074e+11  0.000000e+00    
2.592000e+05    1.254872e+02  3.240014e+03  0.000000e+00    1.600608e+10  5.456148e+10  0.000000e+00    1.207140e+10  1.093419e+11  0.000000e+00    1.035968e+10  1.496459e+11  0.000000e+00    8.292290e+09  2.198353e+11  0.000000e+00    
3.456000e+05    2.432604e+02  5.058622e+03  0.000000e+00    1.984463e+10  5.320253e+10  0.000000e+00    1.507230e+10  1.089723e+11  0.000000e+00    1.294386e+10  1.494468e+11  0.000000e+00    1.036391e+10  2.197427e+11  0.000000e+00    
4.320000e+05    4.184708e+02  7.277524e+03  0.000000e+00    2.357518e+10  5.155416e+10  0.000000e+00    1.806191e+10  1.085212e+11  0.000000e+00    1.552423e+10  1.492036e+11  0.000000e+00    1.243455e+10  2.196295e+11  0.000000e+00    
5.184000e+05    6.624409e+02  9.894410e+03  0.000000e+00    2.717679e+10  4.962393e+10  0.000000e+00    2.103802e+10  1.079888e+11  0.000000e+00    1.810001e+10  1.489163e+11  0.000000e+00    1.450404e+10  2.194958e+11  0.000000e+00    
6.048000e+05    9.864009e+02  1.290655e+04  0.000000e+00    3.062890e+10  4.742082e+10  0.000000e+00    2.399838e+10  1.073757e+11  0.000000e+00    2.067045e+10  1.485851e+11  0.000000e+00    1.657216e+10  2.193415e+11  0.000000e+00    
6.912000e+05    1.401471e+03  1.631078e+04  0.000000e+00    3.391138e+10  4.495519e+10  0.000000e+00    2.694079e+10  1.066823e+11  0.000000e+00    2.323479e+10  1.482101e+11  0.000000e+00    1.863874e+10  2.191666e+11  0.000000e+00    
7.776000e+05    1.918645e+03  2.010354e+04  0.000000e+00    3.700465e+10  4.223884e+10  0.000000e+00    2.986305e+10  1.059090e+11  0.000000e+00    2.579227e+10  1.477913e+11  0.000000e+00    2.070357e+10  2.189713e+11  0.000000e+00    
8.640000e+05    2.548768e+03  2.428083e+04  0.000000e+00    3.988973e+10  3.928495e+10  0.000000e+00    3.276298e+10  1.050566e+11  0.000000e+00    2.834214e+10  1.473289e+11  0.000000e+00    2.276646e+10  2.187554e+11  0.000000e+00    
9.504000e+05    3.302519e+03  2.883823e+04  0.000000e+00    4.254836e+10  3.610816e+10  0.000000e+00    3.563841e+10  1.041256e+11  0.000000e+00    3.088365e+10  1.468230e+11  0.000000e+00    2.482722e+10  2.185191e+11  0.000000e+00    
1.036800e+06    4.190387e+03  3.377092e+04  0.000000e+00    4.496307e+10  3.272448e+10  0.000000e+00    3.848721e+10  1.031168e+11  0.000000e+00    3.341605e+10  1.462738e+11  0.000000e+00    2.688565e+10  2.182622e+11  0.000000e+00    
1.123200e+06    5.222650e+03  3.907363e+04  0.000000e+00    4.711734e+10  2.915136e+10  0.000000e+00    4.130724e+10  1.020309e+11  0.000000e+00    3.593859e+10  1.456815e+11  0.000000e+00    2.894156e+10  2.179850e+11  0.000000e+00    
1.209600e+06    6.409353e+03  4.474071e+04  0.000000e+00    4.899566e+10  2.540761e+10  0.000000e+00    4.409642e+10  1.008688e+11  0.000000e+00    3.845053e+10  1.450462e+11  0.000000e+00    3.099476e+10  2.176873e+11  0.000000e+00    
1.296000e+06    7.760278e+03  5.076611e+04  0.000000e+00    5.058368e+10  2.151344e+10  0.000000e+00    4.685266e+10  9.963139e+10  0.000000e+00    4.095113e+10  1.443681e+11  0.000000e+00    3.304506e+10  2.173692e+11  0.000000e+00    
1.382400e+06    9.284923e+03  5.714335e+04  0.000000e+00    5.186833e+10  1.749037e+10  0.000000e+00    4.957393e+10  9.831960e+10  0.000000e+00    4.343966e+10  1.436474e+11  0.000000e+00    3.509226e+10  2.170307e+11  0.000000e+00    
1.468800e+06    1.099247e+04  6.386560e+04  0.000000e+00    5.283798e+10  1.336119e+10  0.000000e+00    5.225820e+10  9.693442e+10  0.000000e+00    4.591538e+10  1.428844e+11  0.000000e+00    3.713617e+10  2.166718e+11  0.000000e+00    
1.555200e+06    1.289177e+04  7.092563e+04  0.000000e+00    5.348255e+10  9.149924e+09  0.000000e+00    5.490347e+10  9.547693e+10  0.000000e+00    4.837757e+10  1.420793e+11  0.000000e+00    3.917659e+10  2.162927e+11  0.000000e+00    
1.641600e+06    1.499128e+04  7.831587e+04  0.000000e+00    5.379367e+10  4.881739e+09  0.000000e+00    5.750781e+10  9.394823e+10  0.000000e+00    5.082550e+10  1.412323e+11  0.000000e+00    4.121334e+10  2.158932e+11  0.000000e+00    
1.728000e+06    1.729909e+04  8.602839e+04  0.000000e+00    5.376484e+10  5.828297e+08  0.000000e+00    6.006927e+10  9.234950e+10  0.000000e+00    5.325845e+10  1.403437e+11  0.000000e+00    4.324622e+10  2.154735e+11  0.000000e+00    
1.814400e+06    1.982285e+04  9.405498e+04  0.000000e+00    5.339157e+10  -3.719684e+09  0.000000e+00    6.258596e+10  9.068195e+10  0.000000e+00    5.567572e+10  1.394137e+11  0.000000e+00    4.527505e+10  2.150336e+11  0.000000e+00    
1.900800e+06    2.256974e+04  1.023871e+05  0.000000e+00    5.267150e+10  -7.997904e+09  0.000000e+00    6.505604e+10  8.894685e+10  0.000000e+00    5.807659e+10  1.384427e+11  0.000000e+00    4.729962e+10  2.145735e+11  0.000000e+00    
1.987200e+06    2.554649e+04  1.110160e+05  0.000000e+00    5.160458e+10  -1.222332e+10  0.000000e+00    6.747769e+10  8.714554e+10  0.000000e+00    6.046036e+10  1.374310e+11  0.000000e+00    4.931974e+10  2.140932e+11  0.000000e+00    
2.073600e+06    2.875930e+04  1.199326e+05  0.000000e+00    5.019315e+10  -1.636700e+10  0.000000e+00    6.984911e+10  8.527937e+10  0.000000e+00    6.282632e+10  1.363787e+11  0.000000e+00    5.133524e+10  2.135928e+11  0.000000e+00    
2.160000e+06    3.221385e+04  1.291277e+05  0.000000e+00    4.844211e+10  -2.039979e+10  0.000000e+00    7.216858e+10  8.334977e+10  0.000000e+00    6.517380e+10  1.352863e+11  0.000000e+00    5.334591e+10  2.130723e+11  0.000000e+00    
2.246400e+06    3.591527e+04  1.385921e+05  0.000000e+00    4.635897e+10  -2.429257e+10  0.000000e+00    7.443440e+10  8.135820e+10  0.000000e+00    6.750210e+10  1.341542e+11  0.000000e+00    5.535156e+10  2.125318e+11  0.000000e+00    
2.332800e+06    3.986813e+04  1.483161e+05  0.000000e+00    4.395392e+10  -2.801653e+10  0.000000e+00    7.664491e+10  7.930617e+10  0.000000e+00    6.981054e+10  1.329825e+11  0.000000e+00    5.735201e+10  2.119713e+11  0.000000e+00    
2.419200e+06    4.407642e+04  1.582905e+05  0.000000e+00    4.123990e+10  -3.154339e+10  0.000000e+00    7.879849e+10  7.719525e+10  0.000000e+00    7.209846e+10  1.317717e+11  0.000000e+00    5.934706e+10  2.113908e+11  0.000000e+00    
2.505600e+06    4.854357e+04  1.685056e+05  0.000000e+00    3.823259e+10  -3.484575e+10  0.000000e+00    8.089358e+10  7.502703e+10  0.000000e+00    7.436517e+10  1.305222e+11  0.000000e+00    6.133652e+10  2.107904e+11  0.000000e+00    
2.592000e+06    5.327240e+04  1.789520e+05  0.000000e+00    3.495037e+10  -3.789739e+10  0.000000e+00    8.292866e+10  7.280315e+10  0.000000e+00    7.661003e+10  1.292344e+11  0.000000e+00    6.332021e+10  2.101702e+11  0.000000e+00    
2.678400e+06    5.826520e+04  1.896204e+05  0.000000e+00    3.141427e+10  -4.067358e+10  0.000000e+00    8.490224e+10  7.052529e+10  0.000000e+00    7.883237e+10  1.279085e+11  0.000000e+00    6.529793e+10  2.095302e+11  0.000000e+00    
2.764800e+06    6.352369e+04  2.005017e+05  0.000000e+00    2.764784e+10  -4.315137e+10  0.000000e+00    8.681292e+10  6.819516e+10  0.000000e+00    8.103156e+10  1.265451e+11  0.000000e+00    6.726949e+10  2.088705e+11  0.000000e+00    
